nombre	trim	estado	municipio	isla	comunidad
Aeròdrom Militar	Aerodrom_Militar	Localidad	Pollença	Mallorca	Illes Balears
Alaró	Alaro	Capital de municipio	Alaró	Mallorca	Illes Balears
Alcúdia	Alcudia	Capital de municipio	Alcúdia	Mallorca	Illes Balears
Alcúdia (Alcudia)	Alcudia-Alcudia	Municipio	Alcúdia (Alcudia)	Mallorca	Illes Balears
Algaida	Algaida	Capital de municipio	Algaida	Mallorca	Illes Balears
Andratx	Andratx	Capital de municipio	Andratx	Mallorca	Illes Balears
Andratx (Andrach)	Andratx-Andrach	Municipio	Andratx (Andrach)	Mallorca	Illes Balears
Ariany	Ariany	Capital de municipio	Ariany	Mallorca	Illes Balears
Artà	Arta	Capital de municipio	Artà	Mallorca	Illes Balears
Artà (Artá)	Arta-Arta	Municipio	Artà (Artá)	Mallorca	Illes Balears
Badia Blava	Badia_Blava	Localidad	Llucmajor	Mallorca	Illes Balears
Badia de Palma	Badia_de_Palma	Localidad	Calvià	Mallorca	Illes Balears
Badia Gran	Badia_Gran	Localidad	Llucmajor	Mallorca	Illes Balears
Banyalbufar	Banyalbufar	Capital de municipio	Banyalbufar	Mallorca	Illes Balears
Banyalbufar (Bañalbufar)	Banyalbufar-Banalbufar	Municipio	Banyalbufar (Bañalbufar)	Mallorca	Illes Balears
Bellavista	Bellavista	Localidad	Llucmajor	Mallorca	Illes Balears
Benestar-Sa Cabana	Benestar-Sa_Cabana	Localidad	Marratxí	Mallorca	Illes Balears
Biniali	Biniali	Localidad	Sencelles	Mallorca	Illes Balears
Biniamar	Biniamar	Localidad	Selva	Mallorca	Illes Balears
Biniaraix	Biniaraix	Localidad	Sóller	Mallorca	Illes Balears
Binissalem	Binissalem	Capital de municipio	Binissalem	Mallorca	Illes Balears
Búger	Buger	Capital de municipio	Búger	Mallorca	Illes Balears
Bunyola	Bunyola	Capital de municipio	Bunyola	Mallorca	Illes Balears
Bunyola (Buñola)	Bunyola-Bunola	Municipio	Bunyola (Buñola)	Mallorca	Illes Balears
Caimari	Caimari	Localidad	Selva	Mallorca	Illes Balears
Cala Anguila-Cala Mendia	Cala_Anguila-Cala_Mendia	Localidad	Manacor	Mallorca	Illes Balears
Cala Blava	Cala_Blava	Localidad	Llucmajor	Mallorca	Illes Balears
Cala Bona	Cala_Bona	Localidad	Son Servera	Mallorca	Illes Balears
Cala de Portinatx (Portinatx)	Cala_de_Portinatx-Portinatx	Localidad	Sant Joan de Labritja	Mallorca	Illes Balears
Cala de Sant Vicent	Cala_de_Sant_Vicent	Localidad	Sant Joan de Labritja	Mallorca	Illes Balears
Cala d'Or	Cala_d__Or	Localidad	Santanyí	Mallorca	Illes Balears
Cala Ferrera	Cala_Ferrera	Localidad	Felanitx	Mallorca	Illes Balears
Cala Figuera	Cala_Figuera	Localidad	Santanyí	Mallorca	Illes Balears
Cala Gat	Cala_Gat	Localidad	Capdepera	Mallorca	Illes Balears
Cala Lliteres	Cala_Lliteres	Localidad	Capdepera	Mallorca	Illes Balears
Cala Llombards	Cala_Llombards	Localidad	Santanyí	Mallorca	Illes Balears
Cala Mesquida	Cala_Mesquida	Localidad	Capdepera	Mallorca	Illes Balears
Cala Millor	Cala_Millor	Localidad	Son Servera	Mallorca	Illes Balears
Cala Murada	Cala_Murada	Localidad	Manacor	Mallorca	Illes Balears
Cala Pi	Cala_Pi	Localidad	Llucmajor	Mallorca	Illes Balears
Cala Rajada	Cala_Rajada	Localidad	Capdepera	Mallorca	Illes Balears
Cala Sant Esteve	Cala_Sant_Esteve	Localidad	Es Castell	Mallorca	Illes Balears
Cala Sant Vicenç	Cala_Sant_Vicenc	Localidad	Pollença	Mallorca	Illes Balears
Cala Santanyí	Cala_Santanyi	Localidad	Santanyí	Mallorca	Illes Balears
Cala Serena	Cala_Serena	Localidad	Felanitx	Mallorca	Illes Balears
Cala Tuent	Cala_Tuent	Localidad	Escorca	Mallorca	Illes Balears
Cales de Mallorca	Cales_de_Mallorca	Localidad	Manacor	Mallorca	Illes Balears
Calonge	Calonge	Localidad	Santanyí	Mallorca	Illes Balears
Calvià	Calvia	Capital de municipio	Calvià	Mallorca	Illes Balears
Campanet	Campanet	Capital de municipio	Campanet	Mallorca	Illes Balears
Campos	Campos	Capital de municipio	Campos	Mallorca	Illes Balears
Can Carbonell	Can_Carbonell	Localidad	Marratxí	Mallorca	Illes Balears
Can Pastilla	Can_Pastilla	Localidad	Palma	Mallorca	Illes Balears
Can Picafort	Can_Picafort	Localidad	Santa Margalida	Mallorca	Illes Balears
Can Singala	Can_Singala	Localidad	Pollença	Mallorca	Illes Balears
Canyamel Coves	Canyamel_Coves	Localidad	Capdepera	Mallorca	Illes Balears
Canyamel Platja	Canyamel_Platja	Localidad	Capdepera	Mallorca	Illes Balears
Cap des Moro	Cap_des_Moro	Localidad	Santanyí	Mallorca	Illes Balears
